callsign,icao24,typecode,airport,timestamp
FHSKJ,39c949,VTOR,LSZH,2026-03-01 11:08:30+00:00
DLH9LY,3c644e,A319,LSZH,2026-03-01 11:33:52+00:00
DLH1RT,3c6585,A319,LSZH,2026-03-01 10:00:01+00:00
JPV148,3e46e1,PRM1,LSZH,2026-03-01 10:27:53+00:00
EZY62TC,40631b,A319,LSZH,2026-03-01 10:00:01+00:00
BAW712T,40697c,A320,LSZH,2026-03-01 10:04:56+00:00
BAW714T,407fca,UNKNOWN,LSZH,2026-03-01 11:37:20+00:00
PHJRC,485f59,E35L,LSZH,2026-03-01 10:41:18+00:00
KLM29A,486651,UNKNOWN,LSZH,2026-03-01 10:00:01+00:00
NJE964C,49130f,C56X,LSZH,2026-03-01 11:17:00+00:00
TAP93ZR,4951cd,A320,LSZH,2026-03-01 11:20:14+00:00
SAS841,4aca76,UNKNOWN,LSZH,2026-03-01 11:19:45+00:00
SWR1TW,4b028a,E290,LSZH,2026-03-01 10:51:04+00:00
SWR1HB,4b028d,E290,LSZH,2026-03-01 10:00:01+00:00
SWR9FX,4b028e,E290,LSZH,2026-03-01 10:34:10+00:00
SWR319V,4b0292,E295,LSZH,2026-03-01 10:00:01+00:00
SWR2DV,4b0293,E295,LSZH,2026-03-01 10:00:01+00:00
EDW25,4b15d6,UNKNOWN,LSZH,2026-03-01 10:29:18+00:00
EDW403Y,4b15ed,A320,LSZH,2026-03-01 10:15:02+00:00
EDW121Q,4b161e,A320,LSZH,2026-03-01 10:17:44+00:00
SWR9WF,4b1620,A320,LSZH,2026-03-01 10:40:26+00:00
SWR2GE,4b168f,A321,LSZH,2026-03-01 10:00:01+00:00
SWR96M,4b1691,A321,LSZH,2026-03-01 10:25:11+00:00
SWR9HE,4b1693,A321,LSZH,2026-03-01 10:00:01+00:00
SWR3HY,4b17de,BCS1,LSZH,2026-03-01 10:00:01+00:00
SWR2XC,4b17e2,BCS1,LSZH,2026-03-01 10:32:59+00:00
SWR7KT,4b17fd,BCS3,LSZH,2026-03-01 10:00:01+00:00
SWR502V,4b1801,BCS3,LSZH,2026-03-01 10:43:59+00:00
SWR7AK,4b180c,BCS3,LSZH,2026-03-01 10:00:17+00:00
SWR3XM,4b1815,A20N,LSZH,2026-03-01 10:21:56+00:00
SWR8HG,4b1817,A20N,LSZH,2026-03-01 10:11:07+00:00
EDW289K,4b18b9,A320,LSZH,2026-03-01 11:04:28+00:00
PJZ063,4b18d9,UNKNOWN,LSZH,2026-03-01 11:09:32+00:00
SWR5GT,4b18f1,A320,LSZH,2026-03-01 10:00:01+00:00
SWR1CZ,4b194e,UNKNOWN,LSZH,2026-03-01 10:40:03+00:00
SWR8CD,4b19f5,E190,LSZH,2026-03-01 10:49:21+00:00
SWR211D,4b19fc,UNKNOWN,LSZH,2026-03-01 10:44:16+00:00
SWR2WX,4b19ff,UNKNOWN,LSZH,2026-03-01 10:21:24+00:00
EZS85JU,4b1a2b,A320,LSZH,2026-03-01 10:32:59+00:00
HBOMN,4b263d,P28A,LSZH,2026-03-01 11:10:52+00:00
LUC2M,4b37a8,UNKNOWN,LSZH,2026-03-01 10:14:12+00:00
CAZ201,4b3810,UNKNOWN,LSZH,2026-03-01 11:23:34+00:00
TKJ6ER,4b9e06,UNKNOWN,LSZH,2026-03-01 11:25:14+00:00
SXS38K,4bce0b,UNKNOWN,LSZH,2026-03-01 11:37:05+00:00
SXS63F,4bce19,UNKNOWN,LSZH,2026-03-01 10:56:02+00:00
LXPCL,4d02df,L39,LSZH,2026-03-01 11:20:29+00:00
KMM3492,4d2035,UNKNOWN,LSZH,2026-03-01 10:58:06+00:00
AJD19ST,4d20b9,CL64,LSZH,2026-03-01 11:24:42+00:00
T7EMI,50031c,UNKNOWN,LSZH,2026-03-01 10:06:01+00:00
SWR339H,502cc8,BCS3,LSZH,2026-03-01 10:22:51+00:00
SWR2TM,502d28,BCS3,LSZH,2026-03-01 10:00:01+00:00
SWR97Q,502da9,UNKNOWN,LSZH,2026-03-01 10:31:41+00:00
SWR37V,502dac,UNKNOWN,LSZH,2026-03-01 10:00:12+00:00
MNE310,516097,E195,LSZH,2026-03-01 10:35:32+00:00
PVA1553,a320e5,UNKNOWN,LSZH,2026-03-01 11:04:18+00:00
DAL52,ab4489,B764,LSZH,2026-03-01 10:00:01+00:00
